timestamp,cardinality
1,2.0
2000,1.8842105263157896
4000,1.8362631843294828
6000,1.8511066398390341
8000,1.89894419306184
10000,1.9122983870967742
12000,1.9433485078401618
14000,1.970736629667003
16000,1.9471276054905948
18000,1.9760081674323635
20000,2.0040733197556007
22000,2.028132992327366
24000,2.0549563430919364
26000,2.0247550283651368
28000,2.0405405405405403
30000,2.014069828035435
32000,1.9930410577592206
34000,1.4508856682769726
36000,1.9914529914529915
38000,1.8358585858585859
40000,1.8148335015136225
42000,1.8709514170040487
44000,1.8559837728194726
46000,1.9194288628250893
48000,1.9131538852209242
50000,1.9121725731895223
52000,1.9154203197524498
54000,1.907205806117159
56000,1.7184567257559957
58000,1.7353862212943632
60000,1.6985796948974223
62000,1.7112046291425564
64000,1.671291355389541
66000,1.6716818914562064
68000,1.6745562130177514
70000,1.6988543371522096
72000,1.6236559139784945
74000,1.4175824175824177
76000,1.4524569240587109
78000,1.4340731070496084
80000,1.4721502590673574
82000,1.4770153231179213
84000,1.2540845070422535
86000,1.559015570065294
88000,1.5681246857717446
90000,1.601005025125628
