Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
MLHT,0.3501177,0.2836167,0.17790174,0.387629,0.33289933,0.37155467,0.24308628,0.39907676,0.22193867,0.3476884,0.27148005,0.0,0.0,0
ISOUPTree,0.45690987,0.2999761,0.061829038,0.45581174,0.49878854,0.5408765,0.3319006,0.51994866,0.28378412,0.5640104,0.41214275,0.0,0.0,0
