Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
EaBR,0.98696166,0.9626066,0.0,0.04043205,0.98976874,0.98810655,0.98363215,0.9884723,0.9842339,0.987741,0.9830309,0.0,0.0,0
EaCC,0.9847554,0.95566577,0.0,0.072298974,0.99085784,0.98610884,0.9781328,0.9828668,0.97407717,0.98937285,0.98222893,0.0,0.0,0
CC,0.9755725,0.93428147,0.0,0.027444756,0.98395675,0.97900397,0.96554303,0.97439253,0.96479845,0.9836636,0.96634424,0.0,0.0,0
BR,0.97895324,0.9412864,0.0,0.023366962,0.98390657,0.98102087,0.97495973,0.9810823,0.97532463,0.98095953,0.97459525,0.0,0.0,0
EaPS,0.95123464,0.89426476,1.9586856E-5,0.61985856,0.9630196,0.9574261,0.93447083,0.946933,0.93587226,0.9681611,0.9334016,0.0,0.0,0
PS,0.90711,0.81005317,0.0,0.92845154,0.9079172,0.93908083,0.80984384,0.9406709,0.8021447,0.9378144,0.81772745,0.0,0.0,0
MLHT,0.8969156,0.7967369,0.0,0.9190911,0.90033126,0.9335703,0.8025286,0.93262184,0.7948444,0.93495286,0.81044316,0.0,0.0,0
EaMLHT,0.9521866,0.8917675,0.0,0.30937615,0.9690458,0.9591234,0.9360544,0.9457773,0.9254251,0.972912,0.9470688,0.0,0.0,0
ISOUPTree,0.7385995,0.45118764,8.498906E-6,0.057105843,0.8846891,0.69146466,0.69316846,0.57353795,0.5796704,0.87066734,0.8640788,0.0,0.0,0
EaISOUPTree,0.76351434,0.47594985,0.0,0.7305384,0.9235987,0.70454997,0.70552343,0.57650185,0.57994646,0.9058465,0.9022554,0.0,0.0,0
