Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
MLHT,0.7797373,0.5545275,0.010443241,0.84342223,0.75666183,0.8771032,0.68254876,0.9274853,0.7128116,0.8324485,0.65490365,0.0,0.0,0
ISOUPTree,0.7907382,0.5517255,0.007659157,0.82653135,0.78848785,0.8827935,0.68105865,0.89557296,0.6824025,0.8707851,0.6797267,0.0,0.0,0
