timestamp,evaluationWindow,nExamples,radius,silhouette,threshold,averOut,label
5200,1,36.0,0.87009151112539,0.31778826754623934,0.0,0.6874765171521112,NP1
5200,1,114.0,0.5132326370999349,-1.0,2.0179030777158567E-4,0.0,NP1
5200,1,10.0,0.9957576945502368,1.0,0.0,0.6559430418394776,NP2
5200,1,25.0,0.8580079765622703,1.0,0.0,0.6827142750599807,NP3
5200,1,6.0,1.1092181155110028,1.0,0.0,0.6018250600628511,NP4
5200,1,5.0,0.5003435843497932,1.0,0.0,0.786127186659729,NP5
5200,1,11.0,0.8399031252442399,1.0,0.0,0.6862486009180686,NP6
5200,1,7.0,1.0450701568638125,1.0,0.0,0.6122638714076764,NP7
5200,1,21.0,1.094737773655082,1.0,0.0,0.6143808328496193,NP8
5200,1,4.0,0.5690790235108008,1.0,0.0,0.765363090670862,NP9
5200,1,20.0,0.8222994293703443,1.0,0.0,0.681940766595396,NP10
9370,3,14.0,0.9696475229811823,1.0,0.0,0.6426089516895059,NP11
9370,3,25.0,0.9154557844483817,1.0,0.0,0.6835097474693854,NP12
9370,3,38.0,0.8957076405184338,1.0,0.0,0.671093439888787,NP13
9370,3,4.0,0.872656617218362,1.0,0.0,0.6758646218563095,NP14
9370,3,12.0,0.6875310874163347,1.0,0.0,0.7373968363705555,NP15
9370,3,6.0,0.9077230407270005,1.0,0.0,0.6520249462496486,NP16
9370,3,32.0,0.8968974019327699,1.0,0.0,0.680179161212289,NP17
9370,3,11.0,0.7940590095097158,1.0,0.0,0.7049651671963492,NP18
9370,3,4.0,0.8648960644493651,1.0,0.0,0.6888367802613223,NP19
10768,4,14.0,0.7686958246242089,1.0,0.0,0.7133566671997265,NP20
10768,4,30.0,0.7921317140501348,1.0,0.0,0.6995555295558507,NP21
10768,4,12.0,0.7473070286652809,1.0,0.0,0.7030170604174363,NP22
10768,4,16.0,0.8237188194022854,1.0,0.0,0.6902533214172103,NP23
10768,4,5.0,0.8468504888113356,1.0,0.0,0.6837086020996048,NP24
10768,4,16.0,1.0356523960619002,1.0,0.0,0.6421194728486159,NP25
10768,4,4.0,0.6460846535671539,1.0,0.0,0.7574260446324914,NP26
10768,4,5.0,0.6332647597964127,1.0,0.0,0.7679510809207906,NP27
10768,4,15.0,0.9768174660063709,1.0,0.0,0.666601699227078,NP28
10768,4,6.0,1.003554664336288,1.0,0.0,0.6603305875199156,NP29
10768,4,5.0,0.4843959471341655,1.0,0.0,0.8057932509235443,NP30
10768,4,6.0,0.8487066167030745,1.0,0.0,0.7027467784147131,NP31
15775,6,13.0,0.9161364359257637,1.0,0.0,0.6640672417693098,NP32
15775,6,17.0,0.9723472913533924,1.0,0.0,0.6717578168690878,NP33
15775,6,16.0,0.7206125145275831,1.0,0.0,0.7190294014560251,NP34
15775,6,8.0,0.509301558582925,1.0,0.0,0.7964661264289165,NP35
15775,6,27.0,0.942793581423942,1.0,0.0,0.6645258767922292,NP36
15775,6,19.0,1.0288727688666048,1.0,0.0,0.6454360805182646,NP37
15775,6,4.0,1.1230591825456044,1.0,0.0,0.5883094831130068,NP38
15775,6,4.0,0.309786035030655,1.0,0.0,0.8601888447558134,NP39
15775,6,13.0,0.7450348829671374,1.0,0.0,0.726771437698438,NP40
15775,6,13.0,0.8820865350027451,1.0,0.0,0.6983064428188476,NP41
15775,6,5.0,0.8516880298002089,1.0,0.0,0.680310242172513,NP42
15775,6,5.0,0.7045286424269824,1.0,0.0,0.726094856038608,NP43
23978,9,17.0,0.8015222123695722,1.0,0.0,0.7222315330878591,NP44
23978,9,15.0,0.8275429230294167,1.0,0.0,0.6778017419801458,NP45
23978,9,13.0,0.7314839241726875,1.0,0.0,0.7338254791574905,NP46
23978,9,26.0,0.9063487040620893,1.0,0.0,0.6572265267866153,NP47
23978,9,20.0,0.584420218825256,1.0,0.0,0.7831154598565491,NP48
23978,9,11.0,1.143874540901363,1.0,0.0,0.624564090298091,NP49
23978,9,15.0,0.9821131599526851,1.0,0.0,0.6291522834589122,NP50
23978,9,5.0,1.1839191776468536,1.0,0.0,0.5984033736632502,NP51
23978,9,17.0,0.8877566911597912,1.0,0.0,0.6916138550619518,NP52
30357,11,6.0,1.2051650346414104,1.0,0.0,0.5853969110122721,NP53
30357,11,22.0,1.193359040346661,1.0,0.0,0.5894833780148013,NP54
30357,11,24.0,0.8601761575953668,1.0,0.0,0.689281347235655,NP55
30357,11,20.0,1.0146152289414887,1.0,0.0,0.6509049236566627,NP56
30357,11,14.0,1.074739636858667,1.0,0.0,0.6438821632615394,NP57
30357,11,13.0,0.8776623395247806,1.0,0.0,0.6897877667223089,NP58
30357,11,11.0,0.8355502144373336,1.0,0.0,0.7177440518213,NP59
30357,11,15.0,0.8013579637104692,1.0,0.0,0.7119458460787872,NP60
30357,11,4.0,0.7703570752579613,1.0,0.0,0.708970203312843,NP61
30357,11,16.0,1.2520640281072768,1.0,0.0,0.5879005888384544,NP62
39599,15,27.0,0.9022761475704805,1.0,0.0,0.6667193052067644,NP63
39599,15,29.0,0.8247642170242977,1.0,0.0,0.7152697172131749,NP64
39599,15,22.0,0.8979344160083814,1.0,0.0,0.6761638372764645,NP65
39599,15,4.0,0.4488287841705459,1.0,0.0,0.8270546163510837,NP66
39599,15,6.0,1.203416081254619,1.0,0.0,0.5508982253998692,NP67
39599,15,11.0,1.062440612399594,1.0,0.0,0.6434934582596207,NP68
39599,15,6.0,0.762587322504416,1.0,0.0,0.7070912848958422,NP69
39599,15,8.0,0.5278496459693802,1.0,0.0,0.785191026693213,NP70
