Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
41,0.30897698,0.23507191,0.11290938,0.32457405,0.31385273,0.3821951,0.4284741,0.4533493,0.5563346,0.3303465,0.34840202,0.09833114,277,308
42,0.30808207,0.23165719,0.111965775,0.32580516,0.31194678,0.3801053,0.42501304,0.44976854,0.5553335,0.32912773,0.3442319,0.09747186,129,134
43,0.30866194,0.22715858,0.11176137,0.33078843,0.31066358,0.37819013,0.42396566,0.44670218,0.5584444,0.32789922,0.34168473,0.09650321,84,92
44,0.30870706,0.22339645,0.11044367,0.33339095,0.30940738,0.37638947,0.42113203,0.4439406,0.55712354,0.3266809,0.33850452,0.09666011,149,124
45,0.30757672,0.22207451,0.10814993,0.33240294,0.30801928,0.374621,0.41757405,0.44123283,0.55307126,0.3254836,0.3354034,0.09743099,392,379
46,0.30630958,0.22213396,0.10608745,0.33070865,0.3067557,0.37289616,0.41561642,0.43856877,0.55038655,0.32433003,0.3338648,0.0973199,699,621
47,0.30763963,0.22468673,0.103826925,0.33124894,0.30847988,0.3713361,0.41732687,0.43609753,0.55192286,0.3233221,0.33550754,0.09753487,191,174
48,0.30873248,0.22675318,0.10196597,0.33164963,0.30994487,0.36992678,0.41905352,0.43381742,0.55389816,0.3224394,0.33700964,0.09871206,448,420
49,0.30885434,0.227818,0.10019866,0.3312186,0.310319,0.36862972,0.41961908,0.4317086,0.555413,0.32163432,0.33718106,0.09888706,715,649
50,0.3108701,0.23038483,0.098150566,0.33243275,0.31291822,0.36752,0.422555,0.42985836,0.55921304,0.32097238,0.33957192,0.10013715,260,223
