Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
EaBR,0.9659794,0.90434134,0.0,0.008944001,0.9742788,0.96995765,0.9669291,0.97041917,0.96743155,0.9694968,0.9664273,0.0,0.0,0
EaCC,0.9634381,0.89588624,0.0,0.010036964,0.97644544,0.9678358,0.9634582,0.96216226,0.9573116,0.973577,0.9696887,0.0,0.0,0
CC,0.94032174,0.8479269,0.0,0.005120547,0.955256,0.9531433,0.94132775,0.95199823,0.94290197,0.954302,0.9398703,0.0,0.0,0
BR,0.95238024,0.87042356,0.0,0.0047574975,0.9633784,0.9609904,0.9556162,0.9613056,0.95553404,0.96067584,0.95569974,0.0,0.0,0
EaPS,0.9025843,0.7965823,0.0018649937,0.3618796,0.9229072,0.90643305,0.8831784,0.8935154,0.86401117,0.9198307,0.9035471,0.0,0.0,0
PS,0.7747709,0.57348585,0.0,0.86632127,0.74261415,0.83726364,0.6959526,0.9170822,0.75214094,0.77451986,0.6495797,0.0,0.0,0
MLHT,0.7687065,0.5675771,0.0,0.8671851,0.73422647,0.8267386,0.6898624,0.9152124,0.75157195,0.758076,0.63951635,0.0,0.0,0
EaMLHT,0.89790565,0.78993535,7.286787E-4,0.268545,0.9177044,0.9020124,0.88444304,0.88682044,0.86777276,0.91782975,0.9020552,0.0,0.0,0
ISOUPTree,0.8830359,0.6970864,5.311434E-5,0.08546472,0.9426899,0.8769261,0.85577685,0.82780504,0.79969245,0.93247414,0.92115694,0.0,0.0,0
EaISOUPTree,0.88796675,0.7041792,0.0,0.8856324,0.94904846,0.8783484,0.8568361,0.82640046,0.79799867,0.93743306,0.9256949,0.0,0.0,0
